StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q7,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q5,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,Q3,Q4_First Click,Q4_Last Click,Q4_Page Submit,Q4_Click Count,Q13,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,Q11,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q9,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q15,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Given the decision tree image and the instance: [1, 1, 1, 1], what is the predicted class?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Given the decision tree image and the instance: [1, 1, 1, 0], what is the predicted class?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Given the decision tree image and the instance: [0, 0, 1, 0], what is the predicted class?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Given the decision tree image and the instance: [1, 0, 1, 1], what is the predicted class?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Given the rule list above and the instance: [1, 0, 1, 0], what is the predicted class?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Given the rule list and the instance: [1, 0, 0, 1], what is the predicted class?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Given the rule list above and the instance: [1, 1, 0, 1], what is the predicted class?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Given the rule list above and the instance: [0, 1, 1, 0], what is the predicted class?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_FIRST_CLICK""}","{""ImportId"":""QID2_LAST_CLICK""}","{""ImportId"":""QID2_PAGE_SUBMIT""}","{""ImportId"":""QID2_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_FIRST_CLICK""}","{""ImportId"":""QID8_LAST_CLICK""}","{""ImportId"":""QID8_PAGE_SUBMIT""}","{""ImportId"":""QID8_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_FIRST_CLICK""}","{""ImportId"":""QID6_LAST_CLICK""}","{""ImportId"":""QID6_PAGE_SUBMIT""}","{""ImportId"":""QID6_CLICK_COUNT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_FIRST_CLICK""}","{""ImportId"":""QID4_LAST_CLICK""}","{""ImportId"":""QID4_PAGE_SUBMIT""}","{""ImportId"":""QID4_CLICK_COUNT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_FIRST_CLICK""}","{""ImportId"":""QID10_LAST_CLICK""}","{""ImportId"":""QID10_PAGE_SUBMIT""}","{""ImportId"":""QID10_CLICK_COUNT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}"
2024-11-11 21:42:39,2024-11-11 21:44:02,IP Address,137.146.128.57,100,82,True,2024-11-11 21:44:02,R_7uL1OxIOa9ad4Gp,,,,,44.5542,-69.6179,anonymous,EN,Positive (1),10.117,10.117,10.817,1,Negative (0),0.808,8.121,8.821,2,Negative (0),4.563,4.563,5.31,1,Positive (1),3.583,3.583,4.327,1,False,14.459,14.459,15.357,1,True,5.822,5.822,7.3,1,True,20.5,20.5,21.283,1,False,4.708,4.708,5.355,1
2024-11-11 21:43:24,2024-11-11 21:44:08,IP Address,137.146.128.66,100,44,True,2024-11-11 21:44:09,R_5KdmY2YmAXzU45Y,,,,,44.5542,-69.6179,anonymous,EN,Positive (1),2.231,2.231,2.85,1,Negative (0),10.203,10.203,11.097,1,Negative (0),3.413,4.357,5.018,2,Positive (1),2.71,2.71,3.863,1,False,5.69,6.109,7.172,2,True,2.105,2.105,3.121,1,True,2.979,2.979,3.795,1,False,1.265,1.265,2.797,1
2024-11-11 21:44:13,2024-11-11 21:45:15,IP Address,137.146.128.66,100,61,True,2024-11-11 21:45:15,R_5mkLB2g7HFWFwby,,,,,44.5542,-69.6179,anonymous,EN,Positive (1),3.437,3.437,6.288,1,Negative (0),4.52,4.52,5.35,1,Negative (0),12.529,12.529,14.706,1,Positive (1),5.313,5.313,7.974,1,False,5.549,5.549,7.856,1,True,3.415,3.415,5.141,1,True,3.744,3.744,5.501,1,False,3.348,3.348,4.977,1
2024-11-11 21:44:22,2024-11-11 21:45:19,IP Address,137.146.128.57,100,57,True,2024-11-11 21:45:20,R_5OJfFqPvQvxyh80,,,,,44.5542,-69.6179,anonymous,EN,Positive (1),0.862,2.985,3.519,2,Negative (0),16.338,16.338,17.078,1,Negative (0),5.945,5.945,6.743,1,Positive (1),2.811,2.811,3.68,1,False,5.476,6.046,6.419,2,True,3.74,4.415,4.825,2,True,5.615,5.615,6.482,1,False,4.774,4.774,5.427,1
2024-11-11 21:45:22,2024-11-11 21:46:09,IP Address,137.146.128.57,100,46,True,2024-11-11 21:46:09,R_6lHCKuckkyZCP9T,,,,,44.5542,-69.6179,anonymous,EN,Positive (1),3.109,3.846,4.199,2,Negative (0),4.859,4.859,5.611,1,Negative (0),3.135,3.135,3.993,1,Positive (1),9.476,9.476,10.137,1,False,2.981,2.981,3.746,1,True,4.942,4.942,5.692,1,True,2.399,2.399,3.065,1,False,5.857,5.857,6.682,1
2024-11-11 21:45:22,2024-11-11 21:46:13,IP Address,137.146.128.66,100,51,True,2024-11-11 21:46:14,R_6IMDW3kiVrSDTc0,,,,,44.5542,-69.6179,anonymous,EN,Positive (1),3.194,3.194,5.775,1,Negative (0),6.159,6.159,7.19,1,Negative (0),2.756,2.756,4.239,1,Positive (1),2.566,2.566,4.888,1,False,6.423,6.423,7.942,1,True,2.751,2.751,5.817,1,True,1.977,1.977,4.267,1,False,1.645,1.645,6.612,1
2024-11-11 21:46:39,2024-11-11 21:47:23,IP Address,137.146.128.57,100,43,True,2024-11-11 21:47:24,R_5JCyWqxREAodalX,,,,,44.5542,-69.6179,anonymous,EN,Positive (1),1.937,1.937,2.843,1,Negative (0),5.48,5.48,6.224,1,Negative (0),4.805,4.805,5.557,1,Positive (1),3.332,3.332,4.023,1,False,4.893,4.893,5.563,1,True,6.379,6.379,7.249,1,True,3.303,4.018,4.408,2,False,3.688,3.688,4.395,1
2024-11-11 21:46:22,2024-11-11 21:47:25,IP Address,137.146.128.66,100,62,True,2024-11-11 21:47:25,R_5g78DHISut58YaS,,,,,44.5542,-69.6179,anonymous,EN,Positive (1),2.179,2.179,5.548,1,Negative (0),5.503,5.503,6.584,1,Negative (0),5.709,5.709,6.935,1,Positive (1),8.171,8.171,9.36,1,False,3.113,3.5,5.017,2,True,9.499,9.499,11.371,1,True,3.296,3.296,8.654,1,False,3.06,3.06,5.747,1
